test_sigma,method,mse,psnr_db
0.1,Noisy input,0.006939207969605923,21.619455950927733
0.1,Gaussian filter,0.01144306593388319,19.638276986694336
0.1,FC autoencoder,0.016257942885160446,18.469324472045898
0.1,Conv autoencoder,0.01371704851090908,19.285755642700195
0.2,Noisy input,0.025503785863518716,15.964341674804688
0.2,Gaussian filter,0.017186920696496962,17.759104849243165
0.2,FC autoencoder,0.014625971940159797,19.029680572509765
0.2,Conv autoencoder,0.013124681425094605,19.52541762084961
0.3,Noisy input,0.0526802111029625,12.804495745849609
0.3,Gaussian filter,0.02597259329557419,15.917560731506347
0.3,FC autoencoder,0.014345829197764396,19.136043774414063
0.3,Conv autoencoder,0.013177865320444107,19.506116372680665
0.4,Noisy input,0.08490728158950805,10.723142797851562
0.4,Gaussian filter,0.03712985334992409,14.35002972869873
0.4,FC autoencoder,0.01653121547996998,18.35644229736328
0.4,Conv autoencoder,0.01568154276609421,18.57061388244629
0.5,Noisy input,0.11773569850921631,9.299444958496094
0.5,Gaussian filter,0.04938079088926315,13.108844123840331
0.5,FC autoencoder,0.021573408195376398,17.031852613830566
0.5,Conv autoencoder,0.022770491576194762,16.77110821685791
